SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
040,39,000,00000,00000,00000,0,A,Ohio,Ohio,11536504,11536751,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100
162,39,000,00142,00000,00000,0,A,Aberdeen village,Ohio,1638,1640,1643,1634,1622,1616,1612,1603,1604,1602,1608,1604
162,39,000,00198,00000,00000,0,A,Ada village,Ohio,5952,5959,5967,5733,5769,5850,5838,5806,5595,5603,5550,5544
162,39,000,00380,00000,00000,0,A,Adamsville village,Ohio,114,123,123,123,123,123,123,124,123,124,124,124
162,39,000,00436,00000,00000,0,A,Addyston village,Ohio,938,945,945,943,945,948,947,945,944,942,939,936
162,39,000,00450,00000,00000,0,A,Adelphi village,Ohio,380,380,380,377,377,378,377,375,374,376,374,375
162,39,000,00464,00000,00000,0,A,Adena village,Ohio,759,759,759,751,743,741,734,730,723,715,710,704
162,39,000,01000,00000,00000,0,A,Akron city,Ohio,199110,199209,199081,199112,198969,198972,199008,198588,198068,198085,197884,197597
162,39,000,01042,00000,00000,0,A,Albany village,Ohio,828,844,844,838,872,881,886,889,893,901,891,891
162,39,000,01154,00000,00000,0,A,Alexandria village,Ohio,517,514,515,514,518,520,521,526,529,535,540,542
162,39,000,01210,00000,00000,0,A,Alger village,Ohio,860,869,871,866,854,855,855,851,847,840,843,839
162,39,000,01420,00000,00000,0,A,Alliance city,Ohio,22322,22331,22277,22207,22201,22191,22075,22037,21894,21769,21608,21446
162,39,000,01630,00000,00000,0,A,Amanda village,Ohio,737,734,735,734,733,730,738,736,740,741,741,738
162,39,000,01672,00000,00000,0,A,Amberley village,Ohio,3585,3507,3506,3502,3508,3519,3528,3526,3534,3539,3542,3543
162,39,000,01742,00000,00000,0,A,Amelia village,Ohio,4801,4805,4813,4845,4863,4889,4910,4923,4954,4983,5016,5039
162,39,000,01784,00000,00000,0,A,Amesville village,Ohio,154,156,156,155,154,155,156,156,156,157,154,153
162,39,000,01798,00000,00000,0,A,Amherst city,Ohio,12021,11990,11993,11994,11986,12054,12082,12077,12077,12050,12117,12219
162,39,000,01938,00000,00000,0,A,Amsterdam village,Ohio,511,511,511,504,501,496,493,491,485,480,475,472
162,39,000,02050,00000,00000,0,A,Andover village,Ohio,1145,1143,1142,1139,1129,1123,1115,1109,1105,1100,1098,1095
162,39,000,02092,00000,00000,0,A,Anna village,Ohio,1567,1572,1567,1561,1555,1551,1541,1543,1530,1528,1522,1520
162,39,000,02120,00000,00000,0,A,Ansonia village,Ohio,1174,1176,1176,1167,1163,1157,1153,1149,1139,1135,1129,1121
162,39,000,02148,00000,00000,0,A,Antioch village,Ohio,86,86,86,86,86,84,85,84,81,81,80,79
162,39,000,02204,00000,00000,0,A,Antwerp village,Ohio,1736,1736,1731,1717,1717,1707,1693,1696,1684,1685,1684,1683
162,39,000,02232,00000,00000,0,A,Apple Creek village,Ohio,1173,1171,1169,1170,1173,1177,1181,1185,1186,1186,1181,1180
162,39,000,02274,00000,00000,0,A,Aquilla village,Ohio,340,340,340,339,340,340,340,338,337,339,340,338
162,39,000,02316,00000,00000,0,A,Arcadia village,Ohio,590,599,598,597,602,603,596,597,596,593,593,588
162,39,000,02330,00000,00000,0,A,Arcanum village,Ohio,2129,2114,2114,2100,2093,2082,2075,2063,2043,2037,2021,2008
162,39,000,02344,00000,00000,0,A,Archbold village,Ohio,4346,4328,4321,4298,4296,4294,4316,4308,4303,4301,4319,4319
162,39,000,02400,00000,00000,0,A,Arlington village,Ohio,1455,1465,1463,1463,1470,1467,1460,1462,1460,1456,1450,1442
162,39,000,02428,00000,00000,0,A,Arlington Heights village,Ohio,745,752,752,748,748,750,749,747,746,747,744,741
162,39,000,02568,00000,00000,0,A,Ashland city,Ohio,20362,20379,20526,20528,20526,20377,20268,20349,20438,20481,20407,20275
162,39,000,02582,00000,00000,0,A,Ashley village,Ohio,1330,1330,1338,1362,1384,1417,1453,1485,1517,1546,1582,1608
162,39,000,02638,00000,00000,0,A,Ashtabula city,Ohio,19124,19125,19103,19011,18799,18653,18482,18334,18251,18131,18094,18017
162,39,000,02680,00000,00000,0,A,Ashville village,Ohio,4097,4033,4044,4056,4047,4042,4069,4112,4120,4140,4299,4385
162,39,000,02722,00000,00000,0,A,Athalia village,Ohio,373,371,371,371,370,368,366,363,361,358,356,354
162,39,000,02736,00000,00000,0,A,Athens city,Ohio,23832,23836,24266,24161,23904,23684,23878,24858,25245,25189,24594,24536
162,39,000,02820,00000,00000,0,A,Attica village,Ohio,899,897,895,890,884,876,877,873,871,863,859,861
162,39,000,03086,00000,00000,0,A,Aurora city,Ohio,15548,15548,15539,15567,15461,15560,15734,15801,15852,15999,16181,16338
162,39,000,03352,00000,00000,0,A,Avon city,Ohio,21193,21191,21251,21571,21783,22006,22306,22549,22809,23013,23229,23399
162,39,000,03464,00000,00000,0,A,Avon Lake city,Ohio,22581,22581,22609,22773,22829,22989,23205,23456,23656,24147,24363,24504
162,39,000,03562,00000,00000,0,A,Bailey Lakes village,Ohio,371,373,373,370,369,369,370,370,370,370,369,365
162,39,000,03604,00000,00000,0,A,Bainbridge village,Ohio,860,862,862,859,859,857,853,853,851,849,850,850
